demo,top,top_og,selection_rate,disparate_impact_ratio,job,model,feature,rank,age
Serbian_W,88,65,0.13538461538461538,1.0,Pflegefachperson,gpt-3.5-turbo,standard,1,
Portuguese_W,73,65,0.1123076923076923,0.8295454545454546,Pflegefachperson,gpt-3.5-turbo,standard,1,
Swiss_W,72,65,0.11076923076923077,0.8181818181818182,Pflegefachperson,gpt-3.5-turbo,standard,1,
Kosovo_W,69,65,0.10615384615384615,0.7840909090909091,Pflegefachperson,gpt-3.5-turbo,standard,1,
Serbian_M,68,65,0.10461538461538461,0.7727272727272727,Pflegefachperson,gpt-3.5-turbo,standard,1,
Turkish_W,65,65,0.1,0.7386363636363636,Pflegefachperson,gpt-3.5-turbo,standard,1,
Turkish_M,60,65,0.09230769230769231,0.6818181818181819,Pflegefachperson,gpt-3.5-turbo,standard,1,
Kosovo_M,57,65,0.0876923076923077,0.6477272727272727,Pflegefachperson,gpt-3.5-turbo,standard,1,
Swiss_M,54,65,0.08307692307692308,0.6136363636363636,Pflegefachperson,gpt-3.5-turbo,standard,1,
Portuguese_M,44,65,0.06769230769230769,0.5,Pflegefachperson,gpt-3.5-turbo,standard,1,
Serbian_W,120,65,0.18461538461538463,1.0,Software Engineer,gpt-3.5-turbo,standard,1,
Serbian_M,86,65,0.13230769230769232,0.7166666666666667,Software Engineer,gpt-3.5-turbo,standard,1,
Kosovo_W,65,65,0.1,0.5416666666666666,Software Engineer,gpt-3.5-turbo,standard,1,
Turkish_W,63,65,0.09692307692307692,0.5249999999999999,Software Engineer,gpt-3.5-turbo,standard,1,
Swiss_W,61,65,0.09384615384615384,0.5083333333333333,Software Engineer,gpt-3.5-turbo,standard,1,
Turkish_M,59,65,0.09076923076923077,0.49166666666666664,Software Engineer,gpt-3.5-turbo,standard,1,
Portuguese_W,58,65,0.08923076923076922,0.4833333333333333,Software Engineer,gpt-3.5-turbo,standard,1,
Kosovo_M,50,65,0.07692307692307693,0.4166666666666667,Software Engineer,gpt-3.5-turbo,standard,1,
Swiss_M,49,65,0.07538461538461538,0.4083333333333333,Software Engineer,gpt-3.5-turbo,standard,1,
Portuguese_M,39,65,0.06,0.32499999999999996,Software Engineer,gpt-3.5-turbo,standard,1,
Serbian_W,114,65,0.1753846153846154,1.0,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Portuguese_W,91,65,0.14,0.7982456140350878,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Kosovo_W,77,65,0.11846153846153847,0.6754385964912281,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Serbian_M,71,65,0.10923076923076923,0.6228070175438596,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Turkish_W,66,65,0.10153846153846154,0.5789473684210527,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Swiss_W,62,65,0.09538461538461539,0.543859649122807,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Turkish_M,48,65,0.07384615384615385,0.4210526315789474,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Portuguese_M,46,65,0.07076923076923076,0.40350877192982454,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Kosovo_M,40,65,0.06153846153846154,0.3508771929824562,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Swiss_M,35,65,0.05384615384615385,0.30701754385964913,Talent Acquisition Specialist,gpt-3.5-turbo,standard,1,
Portuguese_W,100,65,0.15384615384615385,1.0,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Serbian_W,77,65,0.11846153846153847,0.77,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Swiss_W,75,65,0.11538461538461539,0.75,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Kosovo_W,67,65,0.10307692307692308,0.6699999999999999,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Turkish_W,63,65,0.09692307692307692,0.6299999999999999,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Swiss_M,61,65,0.09384615384615384,0.61,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Serbian_M,59,65,0.09076923076923077,0.59,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Kosovo_M,55,65,0.08461538461538462,0.55,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Turkish_M,49,65,0.07538461538461538,0.49,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Portuguese_M,44,65,0.06769230769230769,0.43999999999999995,Lehrperson Primarschule,gpt-3.5-turbo,standard,1,
Serbian_W,114,65,0.1753846153846154,1.0,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Kosovo_W,81,65,0.12461538461538461,0.7105263157894737,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Serbian_M,77,65,0.11846153846153847,0.6754385964912281,Sales Consultant Software,gpt-3.5-turbo,standard,1,
